Affected,Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
Y,MAIN,PRE,1,13-Jun-14,731346,8559678,EEF,WYA,,,,,,
Y,MAIN,PRE,2,14-Jun-14,731556,8559762,WYA,EEF,,,,,,
Y,MAIN,PRE,3,15-Jun-14,731050,8561318,BWA,EGW,YYF,BBF,,,,
Y,MAIN,PRE,4,16-Jun-14,731546,8560897,AGF,WBW,GAG,,,,,
Y,MAIN,PRE,5,16-Jun-14,731345,8559678,EEF,WYA,,,,,,
Y,MAIN,PRE,6,16-Jun-14,731349,8559656,EEF,WYA,,,,,,
Y,MAIN,PRE,7,16-Jun-14,731361,8559638,EEF,WYA,,,,,,
Y,MAIN,PRE,8,16-Jun-14,731551,8559652,EEF,WYA,,,,,,
Y,MAIN,PRE,9,16-Jun-14,730612,8562080,BWY,GFY,,,,,,
Y,MAIN,PRE,10,17-Jun-14,731545,8559644,EEF,WYA,,,,,,
Y,MAIN,PRE,11,17-Jun-14,731339,8559678,EEF,WYA,,,,,,
Y,MAIN,PRE,12,18-Jun-14,731418,8559718,EEF,WYA,,,,,,
Y,MAIN,PRE,13,18-Jun-14,731346,8559664,EEF,WYA,FFG,,,,,
Y,MAIN,PRE,14,18-Jun-14,731325,8559742,EEF,WYA,,,,,,
Y,EARLY,PRE,15,18-Jun-14,731725,8563168,YYE,FFW,EAW,,,,,
Y,EARLY,PRE,16,18-Jun-14,731885,8563286,YYE,FFW,,,,,,
Y,EARLY,PRE,17,18-Jun-14,731830,8563101,BAB,FFW,YYE,,,,,
Y,MAIN,PRE,18,19-Jun-14,731467,8559744,EEF,WYA,,,,,,
Y,MAIN,PRE,19,20-Jun-14,731418,8559568,EEF,WYA,,,,,,
Y,MAIN,PRE,20,20-Jun-14,731337,8559680,EEF,WYA,,,,,,
Y,MAIN,PRE,21,19-Jun-14,731447,8559524,FFG,WYA,,,,,,
Y,MAIN,PRE,22,20-Jun-14,730742,8562702,BWE,YBF,,,,,,
Y,MAIN,PRE,23,20-Jun-14,731904,8563552,FFW,BAB,YYE,,,,,
Y,MAIN,PRE,24,21-Jun-14,731182,8561462,YEW,AAA,,,,,,
Y,EARLY,PRE,25,21-Jun-14,731733,8563172,FFW,BAB,YYE,,,,,
Y,EARLY,PRE,26,22-Jun-14,731754,8563226,FFW,BAB,YYE,,,,,
Y,EARLY,PRE,27,22-Jun-14,731686,8563222,FFW,BAB,,,,,,
Y,EARLY,PRE,28,22-Jun-14,731677,8563104,FFW,BAB,YYE,,,,,
Y,EARLY,PRE,29,23-Jun-14,731597,8559891,GWE,YBY,FFG,,,,,
Y,EARLY,PRE,30,24-Jun-14,731514,8559674,WYA,EEF,,,,,,
Y,EARLY,PRE,31,24-Jun-14,731385,8559672,WYA,EEF,,,,,,
Y,EARLY,PRE,32,24-Jun-14,731369,8559704,WYA,EEF,,,,,,
